"X","Unnamed..0","accepted","author","kingdom","Family","name","rank","powo_Snippet","Source","fqId","Accepted_Name","Accepted_ID","Accepted_Rank","Accepted_Species","Accepted_Species_ID"
258,259,"True","(Benth.) Troupin","Plantae","Fabaceae","Julbernardia paniculata","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:501145-1)","urn:lsid:ipni.org:names:501145-1","Julbernardia paniculata","501145-1","Species","Julbernardia paniculata","501145-1"
259,260,"True","Endl.","Plantae","Fabaceae","Kotschya africana","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:501270-1)","urn:lsid:ipni.org:names:501270-1","Kotschya africana","501270-1","Species","Kotschya africana","501270-1"
260,261,"True","L.","Plantae","Fabaceae","Lathyrus pisiformis","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:501945-1)","urn:lsid:ipni.org:names:501945-1","Lathyrus pisiformis","501945-1","Species","Lathyrus pisiformis","501945-1"
261,262,"True","(Wight) Benth.","Plantae","Fabaceae","Leptodesmia congesta","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:502336-1)","urn:lsid:ipni.org:names:502336-1","Leptodesmia congesta","502336-1","Species","Leptodesmia congesta","502336-1"
262,263,"True","Miq.","Plantae","Fabaceae","Lespedeza buergeri","Species"," <b>Use</b>: Environmental, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:502422-1)","urn:lsid:ipni.org:names:502422-1","Lespedeza buergeri","502422-1","Species","Lespedeza buergeri","502422-1"
263,264,"True","(Thunb.) Siebold ex Maxim.","Plantae","Fabaceae","Lespedeza tomentosa","Species"," <b>Use</b>: Environmental, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:502595-1)","urn:lsid:ipni.org:names:502595-1","Lespedeza tomentosa","502595-1","Species","Lespedeza tomentosa","502595-1"
264,265,"True","Harms","Plantae","Fabaceae","Loesenera kalantha","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:502869-1)","urn:lsid:ipni.org:names:502869-1","Loesenera kalantha","502869-1","Species","Loesenera kalantha","502869-1"
265,266,"True","L.","Plantae","Fabaceae","Lotus graecus","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:503664-1)","urn:lsid:ipni.org:names:503664-1","Lotus graecus","503664-1","Species","Lotus graecus","503664-1"
266,267,"True","(Blanco) de Wit","Plantae","Fabaceae","Lysiphyllum binatum","Species"," <b>Use</b>: Environmental, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:505334-1)","urn:lsid:ipni.org:names:505334-1","Lysiphyllum binatum","505334-1","Species","Lysiphyllum binatum","505334-1"
267,268,"True","Benn.","Plantae","Fabaceae","Mecopus nidulans","Species"," <b>Use</b>: Environmental, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:505997-1)","urn:lsid:ipni.org:names:505997-1","Mecopus nidulans","505997-1","Species","Mecopus nidulans","505997-1"
268,269,"True","(L.) Trautv.","Plantae","Fabaceae","Medicago ruthenica","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:506403-1)","urn:lsid:ipni.org:names:506403-1","Medicago ruthenica","506403-1","Species","Medicago ruthenica","506403-1"
269,270,"True","Thuill.","Plantae","Fabaceae","Melilotus altissimus","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:506901-1)","urn:lsid:ipni.org:names:506901-1","Melilotus altissimus","506901-1","Species","Melilotus altissimus","506901-1"
270,271,"True","Welw. ex Baker","Plantae","Fabaceae","Millettia drastica","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:507345-1)","urn:lsid:ipni.org:names:507345-1","Millettia drastica","507345-1","Species","Millettia drastica","507345-1"
271,272,"True","Drake","Plantae","Fabaceae","Mimosa hildebrandtii","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:508110-1)","urn:lsid:ipni.org:names:508110-1","Mimosa hildebrandtii","508110-1","Species","Mimosa hildebrandtii","508110-1"
272,273,"True","(Telfair ex Hook.) R.Vig. ex Du Puy & Labat","Plantae","Fabaceae","Mundulea barclayi","Species"," <b>Use</b>: <em>Medicine</em>, Toxins","POWO pages(/taxon/urn:lsid:ipni.org:names:20004735-1)","urn:lsid:ipni.org:names:20004735-1","Mundulea barclayi","20004735-1","Species","Mundulea barclayi","20004735-1"
273,274,"True","Allemão","Plantae","Fabaceae","Myrocarpus fastigiatus","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:509424-1)","urn:lsid:ipni.org:names:509424-1","Myrocarpus fastigiatus","509424-1","Species","Myrocarpus fastigiatus","509424-1"
274,275,"True","(Thunb.) H.Ohashi","Plantae","Fabaceae","Ohwia caudata","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:1008958-1)","urn:lsid:ipni.org:names:1008958-1","Ohwia caudata","1008958-1","Species","Ohwia caudata","1008958-1"
275,276,"True","Grossh.","Plantae","Fabaceae","Onobrychis transcaucasica","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:510156-1)","urn:lsid:ipni.org:names:510156-1","Onobrychis transcaucasica","510156-1","Species","Onobrychis transcaucasica","510156-1"
276,277,"True","(L.) DC.","Plantae","Fabaceae","Oxytropis campestris","Species"," <b>Use</b>: Environmental, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:179551-2)","urn:lsid:ipni.org:names:179551-2","Oxytropis campestris","179551-2","Species","Oxytropis campestris","179551-2"
277,278,"True","(Pall.) DC.","Plantae","Fabaceae","Oxytropis deflexa","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:511422-1)","urn:lsid:ipni.org:names:511422-1","Oxytropis deflexa","511422-1","Species","Oxytropis deflexa","511422-1"
278,279,"True","DC.","Plantae","Fabaceae","Oxytropis grandiflora","Species"," <b>Use</b>: Environmental, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:511502-1)","urn:lsid:ipni.org:names:511502-1","Oxytropis grandiflora","511502-1","Species","Oxytropis grandiflora","511502-1"
279,280,"True","Palib.","Plantae","Fabaceae","Oxytropis stukovii","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:511894-1)","urn:lsid:ipni.org:names:511894-1","Oxytropis stukovii","511894-1","Species","Oxytropis stukovii","511894-1"
280,281,"True","(L.) DC.","Plantae","Fabaceae","Oxytropis uralensis","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:511964-1)","urn:lsid:ipni.org:names:511964-1","Oxytropis uralensis","511964-1","Species","Oxytropis uralensis","511964-1"
281,282,"True","(Roxb.) Ali","Plantae","Fabaceae","Paracalyx scariosus","Species"," <b>Use</b>: <em>Medicine</em>, Miscellaneous","POWO pages(/taxon/urn:lsid:ipni.org:names:512085-1)","urn:lsid:ipni.org:names:512085-1","Paracalyx scariosus","512085-1","Species","Paracalyx scariosus","512085-1"
282,283,"True","Buch.-Ham. ex D.Don","Plantae","Fabaceae","Parochetus communis","Species"," <b>Use</b>: Environmental, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:512256-1)","urn:lsid:ipni.org:names:512256-1","Parochetus communis","512256-1","Species","Parochetus communis","512256-1"
283,284,"True","(Baker) Meeuwen","Plantae","Fabaceae","Pericopsis angolensis","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:513072-1)","urn:lsid:ipni.org:names:513072-1","Pericopsis angolensis","513072-1","Species","Pericopsis angolensis","513072-1"
284,285,"True","(Benth. ex Baker) Meeuwen","Plantae","Fabaceae","Pericopsis laxiflora","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:513074-1)","urn:lsid:ipni.org:names:513074-1","Pericopsis laxiflora","513074-1","Species","Pericopsis laxiflora","513074-1"
285,286,"True","(Prain) Bandyop. & Ghoshal","Plantae","Fabaceae","Phanera curtisii","Species"," <b>Use</b>: Fibre, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:77150155-1)","urn:lsid:ipni.org:names:77150155-1",NA,NA,NA,NA,NA
286,287,"True","Du Puy, Labat & Schrire","Plantae","Fabaceae","Phylloxylon arenicola","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:984169-1)","urn:lsid:ipni.org:names:984169-1","Phylloxylon arenicola","984169-1","Species","Phylloxylon arenicola","984169-1"
287,288,"True","Harms","Plantae","Fabaceae","Platysepalum chevalieri","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:515265-1)","urn:lsid:ipni.org:names:515265-1","Platysepalum chevalieri","515265-1","Species","Platysepalum chevalieri","515265-1"
288,289,"True","(Lam.) Benth.","Plantae","Fabaceae","Prosopis strombulifera","Species"," <b>Use</b>: <em>Medicine</em>, Miscellaneous","POWO pages(/taxon/urn:lsid:ipni.org:names:515872-1)","urn:lsid:ipni.org:names:515872-1","Prosopis strombulifera","515872-1","Species","Prosopis strombulifera","515872-1"
289,290,"True","L.f.","Plantae","Fabaceae","Pterocarpus santalinus","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:516570-1)","urn:lsid:ipni.org:names:516570-1","Pterocarpus santalinus","516570-1","Species","Pterocarpus santalinus","516570-1"
290,291,"True","Du Puy & Labat","Plantae","Fabaceae","Pyranthus alasoa","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:981572-1)","urn:lsid:ipni.org:names:981572-1","Pyranthus alasoa","981572-1","Species","Pyranthus alasoa","981572-1"
291,292,"True","(L.) Link","Plantae","Fabaceae","Senna marilandica","Species"," <b>Use</b>: Environmental, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:518344-1)","urn:lsid:ipni.org:names:518344-1","Senna marilandica","518344-1","Species","Senna marilandica","518344-1"
292,293,"True","P.Beauv.","Plantae","Fabaceae","Stylosanthes erecta","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:519664-1)","urn:lsid:ipni.org:names:519664-1","Stylosanthes erecta","519664-1","Species","Stylosanthes erecta","519664-1"
293,294,"True","(Retz.) Alston","Plantae","Fabaceae","Stylosanthes fruticosa","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:519669-1)","urn:lsid:ipni.org:names:519669-1","Stylosanthes fruticosa","519669-1","Species","Stylosanthes fruticosa","519669-1"
294,295,"True","(Dumaz-le-Grand) Du Puy & Labat","Plantae","Fabaceae","Tephrosia genistoides","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:20004699-1)","urn:lsid:ipni.org:names:20004699-1","Tephrosia genistoides","20004699-1","Species","Tephrosia genistoides","20004699-1"
295,296,"True","DC.","Plantae","Fabaceae","Tephrosia lupinifolia","Species"," <b>Use</b>: <em>Medicine</em>, Toxins","POWO pages(/taxon/urn:lsid:ipni.org:names:520707-1)","urn:lsid:ipni.org:names:520707-1","Tephrosia lupinifolia","520707-1","Species","Tephrosia lupinifolia","520707-1"
296,297,"True","(Dalzell) Santapau & Maheshw.","Plantae","Fabaceae","Tephrosia strigosa","Species"," <b>Use</b>: <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:520934-1)","urn:lsid:ipni.org:names:520934-1","Tephrosia strigosa","520934-1","Species","Tephrosia strigosa","520934-1"
297,298,"True","(Pall.) Ledeb.","Plantae","Fabaceae","Thermopsis alpina","Species"," <b>Use</b>: <em>Medicine</em>, Toxins","POWO pages(/taxon/urn:lsid:ipni.org:names:521154-1)","urn:lsid:ipni.org:names:521154-1","Thermopsis alpina","521154-1","Species","Thermopsis alpina","521154-1"
298,299,"True","Gand.","Plantae","Fabaceae","Thermopsis turkestanica","Species"," <b>Use</b>: <em>Medicine</em>, Toxins","POWO pages(/taxon/urn:lsid:ipni.org:names:521211-1)","urn:lsid:ipni.org:names:521211-1","Thermopsis turkestanica","521211-1","Species","Thermopsis turkestanica","521211-1"
299,300,"True","L.","Plantae","Fabaceae","Trifolium lupinaster","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:523323-1)","urn:lsid:ipni.org:names:523323-1","Lotus dorycnium","503605-1","Species","Lotus dorycnium","503605-1"
300,301,"True","L.","Plantae","Fabaceae","Trifolium montanum","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:523419-1)","urn:lsid:ipni.org:names:523419-1","Trifolium montanum","523419-1","Species","Trifolium montanum","523419-1"
301,302,"True","L.","Plantae","Fabaceae","Trifolium spadiceum","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:523712-1)","urn:lsid:ipni.org:names:523712-1","Trifolium spadiceum","523712-1","Species","Trifolium spadiceum","523712-1"
302,303,"True","Forssk.","Plantae","Fabaceae","Trigonella stellata","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:524108-1)","urn:lsid:ipni.org:names:524108-1","Trigonella stellata","524108-1","Species","Trigonella stellata","524108-1"
303,304,"True","(Aguiar) Ducke","Plantae","Fabaceae","Vataireopsis araroba","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:262728-2)","urn:lsid:ipni.org:names:262728-2","Vataireopsis araroba","262728-2","Species","Vataireopsis araroba","262728-2"
304,305,"True","Fisch. ex Ser.","Plantae","Fabaceae","Vicia amoena","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:524513-1)","urn:lsid:ipni.org:names:524513-1","Vicia amoena","524513-1","Species","Vicia amoena","524513-1"
305,306,"True","Ledeb.","Plantae","Fabaceae","Vicia multicaulis","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:524964-1)","urn:lsid:ipni.org:names:524964-1","Vicia multicaulis","524964-1","Species","Vicia multicaulis","524964-1"
306,307,"True","Fisch. & C.A.Mey.","Plantae","Fabaceae","Vicia pseudo-orobus","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:525076-1)","urn:lsid:ipni.org:names:525076-1","Vicia pseudo-orobus","525076-1","Species","Vicia pseudo-orobus","525076-1"
307,308,"True","L.","Plantae","Fabaceae","Vicia sylvatica","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:525181-1)","urn:lsid:ipni.org:names:525181-1","Vicia sylvatica","525181-1","Species","Vicia sylvatica","525181-1"
308,309,"True","(Vatke) Drake","Plantae","Fabaceae","Xylia hoffmannii","Species"," <b>Use</b>: <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:525859-1)","urn:lsid:ipni.org:names:525859-1","Xylia hoffmannii","525859-1","Species","Xylia hoffmannii","525859-1"
309,310,"True","Rchb. ex DC.","Plantae","Fabaceae","Zornia glochidiata","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:526022-1)","urn:lsid:ipni.org:names:526022-1","Zornia glochidiata","526022-1","Species","Zornia glochidiata","526022-1"
310,311,"True","(Bruce) J.F.Gmel.","Plantae","Rosaceae","Hagenia abyssinica","Species"," <b>Use</b>: <em>Medicine</em>, timber.","POWO pages(/taxon/urn:lsid:ipni.org:names:725448-1)","urn:lsid:ipni.org:names:725448-1","Hagenia abyssinica","725448-1","Species","Hagenia abyssinica","725448-1"
311,312,"True","Blatt.","Plantae","Zingiberaceae","Curcuma inodora","Species"," <b>Use</b>: Ornamental, <em>medicine</em>.","POWO pages(/taxon/urn:lsid:ipni.org:names:872372-1)","urn:lsid:ipni.org:names:872372-1","Curcuma inodora","872372-1","Species","Curcuma inodora","872372-1"
312,313,"True","J.Graham","Plantae","Zingiberaceae","Curcuma pseudomontana","Species"," <b>Use</b>: Food, <em>medicine</em>.","POWO pages(/taxon/urn:lsid:ipni.org:names:796466-1)","urn:lsid:ipni.org:names:796466-1","Curcuma pseudomontana","796466-1","Species","Curcuma pseudomontana","796466-1"
313,314,"True","Baker","Plantae","Asparagaceae","Eucomis bicolor","Species"," <b>Use</b>: Ornamental, traditional <em>medicine</em>.","POWO pages(/taxon/urn:lsid:ipni.org:names:534989-1)","urn:lsid:ipni.org:names:534989-1","Eucomis bicolor","534989-1","Species","Eucomis bicolor","534989-1"
314,315,"True","L.","Plantae","Caprifoliaceae","Lonicera sempervirens","Species"," <b>Use</b>: Ornamental, traditional <em>medicine</em>.","POWO pages(/taxon/urn:lsid:ipni.org:names:30080890-2)","urn:lsid:ipni.org:names:30080890-2","Lonicera sempervirens","30080890-2","Species","Lonicera sempervirens","30080890-2"
315,316,"True","L.","Plantae","Caryophyllaceae","Dianthus carthusianorum","Species"," <b>Use</b>: Ornamental, traditional <em>medicine</em>.","POWO pages(/taxon/urn:lsid:ipni.org:names:302053-2)","urn:lsid:ipni.org:names:302053-2","Dianthus carthusianorum","302053-2","Species","Dianthus carthusianorum","302053-2"
316,317,"True","(Roxb.) Boivin","Plantae","Fabaceae","Albizia amara","Species"," <b>Use</b>: Environmental, <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:473171-1)","urn:lsid:ipni.org:names:473171-1","Albizia amara","473171-1","Species","Albizia amara","473171-1"
317,318,"True","Benth.","Plantae","Fabaceae","Albizia myriophylla","Species"," <b>Use</b>: Food and Drink, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:473326-1)","urn:lsid:ipni.org:names:473326-1","Albizia myriophylla","473326-1","Species","Albizia myriophylla","473326-1"
318,319,"True","(L.) DC.","Plantae","Fabaceae","Alysicarpus bupleurifolius","Species"," <b>Use</b>: Forage, <em>Medicine</em>, Weed","POWO pages(/taxon/urn:lsid:ipni.org:names:473510-1)","urn:lsid:ipni.org:names:473510-1","Alysicarpus rugosus subsp. rugosus","169833-3","Subspecies","Alysicarpus rugosus","473557-1"
319,320,"True","(L.) DC.","Plantae","Fabaceae","Alysicarpus monilifer","Species"," <b>Use</b>: Forage, <em>Medicine</em>, Miscellaneous","POWO pages(/taxon/urn:lsid:ipni.org:names:473535-1)","urn:lsid:ipni.org:names:473535-1","Alysicarpus monilifer","473535-1","Species","Alysicarpus monilifer","473535-1"
320,321,"True","L.","Plantae","Fabaceae","Anagyris foetida","Species"," <b>Use</b>: Environmental, <em>Medicine</em>, Toxins","POWO pages(/taxon/urn:lsid:ipni.org:names:473968-1)","urn:lsid:ipni.org:names:473968-1","Anagyris foetida","473968-1","Species","Anagyris foetida","473968-1"
321,322,"True","(Oliv.) Mackinder & Wieringa","Plantae","Fabaceae","Annea afzelii","Species"," <b>Use</b>: <em>Medicine</em>, Miscellaneous, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:77133632-1)","urn:lsid:ipni.org:names:77133632-1","Annea afzelii","77133632-1","Species","Annea afzelii","77133632-1"
322,323,"True","L.","Plantae","Fabaceae","Anthyllis vulneraria","Species"," <b>Use</b>: Domestic, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:474795-1)","urn:lsid:ipni.org:names:474795-1","Anthyllis vulneraria","474795-1","Species","Anthyllis vulneraria","474795-1"
323,324,"True","Maxim.","Plantae","Fabaceae","Apios fortunei","Species"," <b>Use</b>: Food and Drink, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:474884-1)","urn:lsid:ipni.org:names:474884-1","Apios fortunei","474884-1","Species","Apios fortunei","474884-1"
324,325,"True","(Blume) I.C.Nielsen","Plantae","Fabaceae","Archidendron ellipticum","Species"," <b>Use</b>: <em>Medicine</em>, Toxins, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:475051-1)","urn:lsid:ipni.org:names:475051-1","Archidendron ellipticum","475051-1","Species","Archidendron ellipticum","475051-1"
325,326,"True","Pall.","Plantae","Fabaceae","Astragalus alopecias","Species"," <b>Use</b>: Environmental, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:476056-1)","urn:lsid:ipni.org:names:476056-1","Astragalus alopecias","476056-1","Species","Astragalus alopecias","476056-1"
326,327,"True","Fisch.","Plantae","Fabaceae","Astragalus amblolepis","Species"," <b>Use</b>: Chemical products, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:476090-1)","urn:lsid:ipni.org:names:476090-1","Astragalus amblolepis","476090-1","Species","Astragalus amblolepis","476090-1"
327,328,"True","Willd.","Plantae","Fabaceae","Astragalus aureus","Species"," <b>Use</b>: Environmental, <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:476315-1)","urn:lsid:ipni.org:names:476315-1","Astragalus aureus","476315-1","Species","Astragalus aureus","476315-1"
328,329,"True","L.","Plantae","Fabaceae","Astragalus cicer","Species"," <b>Use</b>: Environmental, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:476814-1)","urn:lsid:ipni.org:names:476814-1","Astragalus cicer","476814-1","Species","Astragalus cicer","476814-1"
329,330,"True","Schult.","Plantae","Fabaceae","Astragalus crenatus","Species"," <b>Use</b>: Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:476951-1)","urn:lsid:ipni.org:names:476951-1","Astragalus crenatus","476951-1","Species","Astragalus crenatus","476951-1"
330,331,"True","Fisch.","Plantae","Fabaceae","Astragalus flexus","Species"," <b>Use</b>: Environmental, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:477471-1)","urn:lsid:ipni.org:names:477471-1","Astragalus flexus","477471-1","Species","Astragalus flexus","477471-1"
331,332,"True","Sumnev.","Plantae","Fabaceae","Astragalus floccosifolius","Species"," <b>Use</b>: Chemical products, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:477472-1)","urn:lsid:ipni.org:names:477472-1","Astragalus floccosifolius","477472-1","Species","Astragalus floccosifolius","477472-1"
332,333,"True","L.","Plantae","Fabaceae","Astragalus glycyphyllos","Species"," <b>Use</b>: Environmental, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:477635-1)","urn:lsid:ipni.org:names:477635-1","Astragalus glycyphyllos","477635-1","Species","Astragalus glycyphyllos","477635-1"
333,334,"True","L.","Plantae","Fabaceae","Astragalus hamosus","Species"," <b>Use</b>: Food and Drink, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:477735-1)","urn:lsid:ipni.org:names:477735-1","Astragalus hamosus","477735-1","Species","Astragalus hamosus","477735-1"
334,335,"True","DC.","Plantae","Fabaceae","Astragalus oleifolius","Species"," <b>Use</b>: Chemical products, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:478955-1)","urn:lsid:ipni.org:names:478955-1","Astragalus oleifolius","478955-1","Species","Astragalus oleifolius","478955-1"
335,336,"True","L.","Plantae","Fabaceae","Astragalus onobrychis","Species"," <b>Use</b>: Environmental, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:478980-1)","urn:lsid:ipni.org:names:478980-1","Astragalus onobrychis","478980-1","Species","Astragalus onobrychis","478980-1"
336,337,"True","L.","Plantae","Fabaceae","Astragalus uliginosus","Species"," <b>Use</b>: Environmental, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:480358-1)","urn:lsid:ipni.org:names:480358-1","Astragalus glycyphylloides","477634-1","Species","Astragalus glycyphylloides","477634-1"
337,338,"True","Oliv.","Plantae","Fabaceae","Bauhinia macrantha","Species"," <b>Use</b>: Food and Drink, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:481468-1)","urn:lsid:ipni.org:names:481468-1","Bauhinia macrantha","481468-1","Species","Bauhinia macrantha","481468-1"
338,339,"True","Desv.","Plantae","Fabaceae","Bauhinia viridescens","Species"," <b>Use</b>: Food and Drink, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:481766-1)","urn:lsid:ipni.org:names:481766-1","Bauhinia viridescens","481766-1","Species","Bauhinia viridescens","481766-1"
339,340,"True","(Desv.) J.H.Kirkbr. & Wiersema","Plantae","Fabaceae","Bobgunnia madagascariensis","Species"," <b>Use</b>: <em>Medicine</em>, Toxins, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:995543-1)","urn:lsid:ipni.org:names:995543-1","Bobgunnia madagascariensis","995543-1","Species","Bobgunnia madagascariensis","995543-1"
340,341,"True","(Bolus) Harms","Plantae","Fabaceae","Bolusanthus speciosus","Species"," <b>Use</b>: Environmental, <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:481946-1)","urn:lsid:ipni.org:names:481946-1","Bolusanthus speciosus","481946-1","Species","Bolusanthus speciosus","481946-1"
341,342,"True","(Willd.) H.Ohashi & K.Ohashi","Plantae","Fabaceae","Bouffordia dichotoma","Species"," <b>Use</b>: Forage, <em>Medicine</em>, Weed","POWO pages(/taxon/urn:lsid:ipni.org:names:77190805-1)","urn:lsid:ipni.org:names:77190805-1",NA,NA,NA,NA,NA
342,343,"True","Benth.","Plantae","Fabaceae","Brachystegia longifolia","Species"," <b>Use</b>: Fibre, <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:482229-1)","urn:lsid:ipni.org:names:482229-1","Brachystegia longifolia","482229-1","Species","Brachystegia longifolia","482229-1"
343,344,"True","Benth.","Plantae","Fabaceae","Brachystegia spiciformis","Species"," <b>Use</b>: Fibre, <em>Medicine</em>, Wood","POWO pages(/taxon/urn:lsid:ipni.org:names:482255-1)","urn:lsid:ipni.org:names:482255-1","Brachystegia spiciformis","482255-1","Species","Brachystegia spiciformis","482255-1"
344,345,"True","Dalzell","Plantae","Fabaceae","Cajanus goensis","Species"," <b>Use</b>: Food and Drink, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:482998-1)","urn:lsid:ipni.org:names:482998-1","Cajanus goensis","482998-1","Species","Cajanus goensis","482998-1"
345,346,"True","Lam.","Plantae","Fabaceae","Caragana microphylla","Species"," <b>Use</b>: Environmental, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:483860-1)","urn:lsid:ipni.org:names:483860-1","Caragana microphylla","483860-1","Species","Caragana microphylla","483860-1"
346,347,"True","(L.) DC.","Plantae","Fabaceae","Caragana pygmaea","Species"," <b>Use</b>: Environmental, Forage, <em>Medicine</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:483884-1)","urn:lsid:ipni.org:names:483884-1","Caragana pygmaea","483884-1","Species","Caragana pygmaea","483884-1"
