,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,Sources
449,747599-1,Corynanthe johimbe,Corynanthe johimbe,747599-1,Species,,:MPNS (Corynanthe johimbe)
450,747600-1,Corynanthe lane-poolei,Corynanthe lane-poolei,747600-1,Species,,:MPNS (Corynanthe lane-poolei)
451,747601-1,Corynanthe macroceras,Corynanthe macroceras,747601-1,Species,,:MPNS (Corynanthe macroceras)
452,747602-1,Corynanthe mayumbensis,Corynanthe mayumbensis,747602-1,Species,,:MPNS (Corynanthe mayumbensis)
453,747604-1,Corynanthe pachyceras,Corynanthe pachyceras,747604-1,Species,,:MPNS (Corynanthe pachyceras)
454,747605-1,Corynanthe paniculata,Corynanthe paniculata,747605-1,Species,,:MPNS (Corynanthe paniculata)
455,77142556-1,Corynanthe talbotii,Corynanthe talbotii,77142556-1,Species,,:MPNS (Corynanthe talbotii)
456,66725-2,Cosmibuena grandiflora,Cosmibuena grandiflora,66725-2,Species,,:MPNS (Cosmibuena grandiflora)
457,20008971-1,Cosmostigma cordatum,Cosmostigma cordatum,20008971-1,Species,,:MPNS (Cosmostigma cordatum)
458,67217-2,Couma macrocarpa,Couma macrocarpa,67217-2,Species,,:MPNS (Couma macrocarpa)
459,78177-1,Couma utilis,Couma utilis,78177-1,Species,,:MPNS (Couma utilis)
460,67491-2,Coutarea hexandra,Coutarea hexandra,67491-2,Species,,:MPNS (Coutarea hexandra)
461,78180-1,Craspidospermum verticillatum,Craspidospermum verticillatum,78180-1,Species,,:MPNS (Craspidospermum verticillatum)
462,747801-1,Craterispermum caudatum,Craterispermum caudatum,747801-1,Species,,:MPNS (Craterispermum caudatum)
463,747802-1,Craterispermum cerinanthum,Craterispermum cerinanthum,747802-1,Species,,:MPNS (Craterispermum cerinanthum)
464,747804-1,Craterispermum dewevrei,Craterispermum dewevrei,747804-1,Species,,:MPNS (Craterispermum dewevrei)
465,747810-1,Craterispermum laurinum,Craterispermum laurinum,747810-1,Species,,:MPNS (Craterispermum laurinum)
466,747813-1,Craterispermum microdon,Craterispermum microdon,747813-1,Species,,:MPNS (Craterispermum microdon)
467,747818-1,Craterispermum schweinfurthii,Craterispermum schweinfurthii,747818-1,Species,,:MPNS (Craterispermum schweinfurthii)
468,747837-1,Cremaspora triflora,Cremaspora triflora,747837-1,Species,,:MPNS (Cremaspora triflora)
469,78181-1,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus,78181-1,Species,,:MPNS (Crioceras dipladeniiflorus)
470,747858-1,Crossopteryx febrifuga,Crossopteryx febrifuga,747858-1,Species,,:MPNS (Crossopteryx febrifuga)
471,747959-1,Cruciata laevipes,Cruciata laevipes,747959-1,Species,,:MPNS (Cruciata laevipes)
472,77211013-1,Crusea simplex,Crusea simplex,77211013-1,Species,,:MPNS (Crusea simplex)
473,95915-1,Cryptolepis buchananii,Cryptolepis buchananii,95915-1,Species,,:MPNS (Cryptolepis buchananii)
474,77158571-1,Cryptolepis calophylla,Cryptolepis calophylla,77158571-1,Species,,:MPNS (Cryptolepis calophylla)
475,95917-1,Cryptolepis capensis,Cryptolepis capensis,95917-1,Species,,:MPNS (Cryptolepis capensis)
476,95920-1,Cryptolepis decidua,Cryptolepis decidua,95920-1,Species,,:MPNS (Cryptolepis decidua)
477,20003286-1,Cryptolepis eburnea,Cryptolepis eburnea,20003286-1,Species,,:MPNS (Cryptolepis eburnea)
478,95929-1,Cryptolepis grandiflora,Cryptolepis grandiflora,95929-1,Species,,:MPNS (Cryptolepis grandiflora)
479,77158572-1,Cryptolepis nigrescens,Cryptolepis nigrescens,77158572-1,Species,,:MPNS (Cryptolepis nigrescens)
480,95943-1,Cryptolepis oblongifolia,Cryptolepis oblongifolia,95943-1,Species,,:MPNS (Cryptolepis oblongifolia)
481,95951-1,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,95951-1,Species,,:MPNS (Cryptolepis sanguinolenta)
482,95952-1,Cryptolepis sinensis,Cryptolepis sinensis,95952-1,Species,,:MPNS (Cryptolepis sinensis)
483,95962-1,Cryptostegia grandiflora,Cryptostegia grandiflora,95962-1,Species,,:MPNS (Cryptostegia grandiflora)
484,95963-1,Cryptostegia madagascariensis,Cryptostegia madagascariensis,95963-1,Species,,:MPNS (Cryptostegia madagascariensis)
485,748056-1,Cuviera acutiflora,Cuviera acutiflora,748056-1,Species,,:MPNS (Cuviera acutiflora)
486,748070-1,Cuviera longiflora,Cuviera longiflora,748070-1,Species,,:MPNS (Cuviera longiflora)
487,95981-1,Cynanchum acidum,Cynanchum acidum,95981-1,Species,,:MPNS (Cynanchum acidum)
488,95989-1,Cynanchum acutum,Cynanchum acutum,95989-1,Species,,:MPNS (Cynanchum acutum)
489,77189771-1,Cynanchum acutum subsp. sibiricum,Cynanchum acutum,95989-1,Subspecies,,:MPNS (Cynanchum acutum subsp. sibiricum)
490,95995-1,Cynanchum africanum,Cynanchum africanum,95995-1,Species,,:MPNS (Cynanchum africanum)
491,77158550-1,Cynanchum annularium,Cynanchum annularium,77158550-1,Species,,:MPNS (Cynanchum annularium)
492,96067-1,Cynanchum boudieri,Cynanchum boudieri,96067-1,Species,,:MPNS (Cynanchum boudieri)
493,96068-1,Cynanchum boveanum,Cynanchum boveanum,96068-1,Species,,:MPNS (Cynanchum boveanum)
494,77158551-1,Cynanchum boveanum subsp. nubicum,Cynanchum boveanum,96068-1,Subspecies,,:MPNS (Cynanchum boveanum subsp. nubicum)
495,96079-1,Cynanchum bungei,Cynanchum bungei,96079-1,Species,,:MPNS (Cynanchum bungei)
496,96083-1,Cynanchum callialatum,Cynanchum callialatum,96083-1,Species,,:MPNS (Cynanchum callialatum)
497,96106-1,Cynanchum chinense,Cynanchum chinense,96106-1,Species,,:MPNS (Cynanchum chinense)
498,96123-1,Cynanchum corymbosum,Cynanchum corymbosum,96123-1,Species,,:MPNS (Cynanchum corymbosum)
499,96145-1,Cynanchum decipiens,Cynanchum decipiens,96145-1,Species,,:MPNS (Cynanchum decipiens)
500,96174-1,Cynanchum ellipticum,Cynanchum ellipticum,96174-1,Species,,:MPNS (Cynanchum ellipticum)
501,77158552-1,Cynanchum ethiopicum,Cynanchum ethiopicum,77158552-1,Species,,:MPNS (Cynanchum ethiopicum)
502,962431-1,Cynanchum gerrardi,Cynanchum gerrardi,962431-1,Species,,:MPNS (Cynanchum gerrardi)
503,77158555-1,Cynanchum graphistemmatoides,Cynanchum graphistemmatoides,77158555-1,Species,,:MPNS (Cynanchum graphistemmatoides)
504,77158556-1,Cynanchum hemsleyanum,Cynanchum hemsleyanum,77158556-1,Species,,:MPNS (Cynanchum hemsleyanum)
505,96255-1,Cynanchum heydei,Cynanchum heydei,96255-1,Species,,:MPNS (Cynanchum heydei)
506,77158558-1,Cynanchum insipidum,Cynanchum insipidum,77158558-1,Species,,:MPNS (Cynanchum insipidum)
507,96387-1,Cynanchum maximoviczii,Cynanchum maximoviczii,96387-1,Species,,:MPNS (Cynanchum maximoviczii)
508,74165-2,Cynanchum montevidense,Cynanchum montevidense,74165-2,Species,,:MPNS (Cynanchum montevidense)
509,96449-1,Cynanchum obtusifolium,Cynanchum obtusifolium,96449-1,Species,,:MPNS (Cynanchum obtusifolium)
510,96453-1,Cynanchum officinale,Cynanchum officinale,96453-1,Species,,:MPNS (Cynanchum officinale)
511,96457-1,Cynanchum orangeanum,Cynanchum orangeanum,96457-1,Species,,:MPNS (Cynanchum orangeanum)
512,96460-1,Cynanchum otophyllum,Cynanchum otophyllum,96460-1,Species,,:MPNS (Cynanchum otophyllum)
513,96461-1,Cynanchum ovalifolium,Cynanchum ovalifolium,96461-1,Species,,:MPNS (Cynanchum ovalifolium)
514,77158564-1,Cynanchum rostellatum,Cynanchum rostellatum,77158564-1,Species,,:MPNS (Cynanchum rostellatum)
515,77120425-1,Cynanchum sarcomedium,Cynanchum sarcomedium,77120425-1,Species,,:MPNS (Cynanchum sarcomedium)
516,96593-1,Cynanchum somaliense,Cynanchum somaliense,96593-1,Species,,:MPNS (Cynanchum somaliense)
517,96650-1,Cynanchum tunicatum,Cynanchum tunicatum,96650-1,Species,,:MPNS (Cynanchum tunicatum)
518,77120427-1,Cynanchum viminale,Cynanchum viminale,77120427-1,Species,,:MPNS (Cynanchum viminale)
519,77120428-1,Cynanchum viminale subsp. australe,Cynanchum viminale,77120427-1,Subspecies,,:MPNS (Cynanchum viminale subsp. australe)
520,77120429-1,Cynanchum viminale subsp. brunonianum,Cynanchum viminale,77120427-1,Subspecies,,:MPNS (Cynanchum viminale subsp. brunonianum)
521,77095648-1,Cynanchum viminale subsp. odontolepis,Cynanchum viminale,77120427-1,Subspecies,,:MPNS (Cynanchum viminale subsp. odontolepis)
522,77120431-1,Cynanchum viminale subsp. stocksii,Cynanchum viminale,77120427-1,Subspecies,,:MPNS (Cynanchum viminale subsp. stocksii)
523,96692-1,Cynanchum wallichii,Cynanchum wallichii,96692-1,Species,,:MPNS (Cynanchum wallichii)
524,96697-1,Cynanchum wilfordii,Cynanchum wilfordii,96697-1,Species,,:MPNS (Cynanchum wilfordii)
525,748105-1,Damnacanthus giganteus,Damnacanthus giganteus,748105-1,Species,,:MPNS (Damnacanthus giganteus)
526,748107-1,Damnacanthus indicus,Damnacanthus indicus,748107-1,Species,,:MPNS (Damnacanthus indicus)
527,748144-1,Danais fragrans,Danais fragrans,748144-1,Species,,:MPNS (Danais fragrans)
528,77147274-1,Debia ovatifolia,Debia ovatifolia,77147274-1,Species,,:MPNS (Debia ovatifolia)
529,998076-1,Decalepis arayalpathra,Decalepis arayalpathra,998076-1,Species,,:MPNS (Decalepis arayalpathra)
530,96807-1,Decalepis hamiltonii,Decalepis hamiltonii,96807-1,Species,,:MPNS (Decalepis hamiltonii)
531,77158677-1,Decalepis khasiana,Decalepis khasiana,77158677-1,Species,,:MPNS (Decalepis khasiana)
532,20003287-1,Decalepis salicifolia,Decalepis salicifolia,20003287-1,Species,,:MPNS (Decalepis salicifolia)
533,912373-1,Deccania pubescens,Deccania pubescens,912373-1,Species,,:MPNS (Deccania pubescens)
534,922044-1,Deccania pubescens var. candolleana,Deccania pubescens,912373-1,Variety,,:MPNS (Deccania pubescens var. candolleana)
535,748287-1,Dentella repens,Dentella repens,748287-1,Species,,:MPNS (Dentella repens)
536,20009961-1,Desmidorchis arabica,Desmidorchis arabica,20009961-1,Species,,:MPNS (Desmidorchis arabica)
537,96815-1,Desmidorchis aucheriana,Desmidorchis aucheriana,96815-1,Species,,:MPNS (Desmidorchis aucheriana)
538,986779-1,Desmidorchis penicillata,Desmidorchis penicillata,986779-1,Species,,:MPNS (Desmidorchis penicillata)
539,96827-1,Desmidorchis retrospiciens,Desmidorchis retrospiciens,96827-1,Species,,:MPNS (Desmidorchis retrospiciens)
540,986780-1,Desmidorchis somalica,Desmidorchis somalica,986780-1,Species,,:MPNS (Desmidorchis somalica)
541,986781-1,Desmidorchis speciosa,Desmidorchis speciosa,986781-1,Species,,:MPNS (Desmidorchis speciosa)
542,78220-1,Dictyophleba leonensis,Dictyophleba leonensis,78220-1,Species,,:MPNS (Dictyophleba leonensis)
543,78221-1,Dictyophleba lucida,Dictyophleba lucida,78221-1,Species,,:MPNS (Dictyophleba lucida)
544,748339-1,Didymaea mexicana,Didymaea mexicana,748339-1,Species,,:MPNS (Didymaea mexicana)
545,748346-1,Didymosalpinx abbeokutae,Didymosalpinx abbeokutae,748346-1,Species,,:MPNS (Didymosalpinx abbeokutae)
546,77147275-1,Dimetia ampliflora,Dimetia ampliflora,77147275-1,Species,,:MPNS (Dimetia ampliflora)
547,77147276-1,Dimetia capitellata,Dimetia capitellata,77147276-1,Species,,:MPNS (Dimetia capitellata)
548,77212575-1,Dimetia hedyotidea,Dimetia hedyotidea,77212575-1,Species,,:MPNS (Dimetia hedyotidea)
549,77127922-1,Dimetia scandens,Dimetia scandens,77127922-1,Species,,:MPNS (Dimetia scandens)
550,748449-1,Diodia rubricosa,Diodia rubricosa,748449-1,Species,,:MPNS (Diodia rubricosa)
551,80624-2,Dioicodendron dioicum,Dioicodendron dioicum,80624-2,Species,,:MPNS (Dioicodendron dioicum)
552,78310-1,Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,78310-1,Species,,:MPNS (Diplorhynchus condylocarpon)
553,748497-1,Diplospora dubia,Diplospora dubia,748497-1,Species,,:MPNS (Diplospora dubia)
554,748498-1,Diplospora erythrospora,Diplospora erythrospora,748498-1,Species,,:MPNS (Diplospora erythrospora)
555,78319-1,Dischidanthus urceolatus,Dischidanthus urceolatus,78319-1,Species,,:MPNS (Dischidanthus urceolatus)
556,96884-1,Dischidia acuminata,Dischidia acuminata,96884-1,Species,,:MPNS (Dischidia acuminata)
557,96898-1,Dischidia australis,Dischidia australis,96898-1,Species,,:MPNS (Dischidia australis)
558,96902-1,Dischidia bengalensis,Dischidia bengalensis,96902-1,Species,,:MPNS (Dischidia bengalensis)
559,96908-1,Dischidia chinensis,Dischidia chinensis,96908-1,Species,,:MPNS (Dischidia chinensis)
560,96914-1,Dischidia collyris,Dischidia collyris,96914-1,Species,,:MPNS (Dischidia collyris)
561,96955-1,Dischidia imbricata,Dischidia imbricata,96955-1,Species,,:MPNS (Dischidia imbricata)
562,96981-1,Dischidia major,Dischidia major,96981-1,Species,,:MPNS (Dischidia major)
563,96997-1,Dischidia nummularia,Dischidia nummularia,96997-1,Species,,:MPNS (Dischidia nummularia)
564,97013-1,Dischidia platyphylla,Dischidia platyphylla,97013-1,Species,,:MPNS (Dischidia platyphylla)
565,97017-1,Dischidia puberula,Dischidia puberula,97017-1,Species,,:MPNS (Dischidia puberula)
566,97025-1,Dischidia purpurea,Dischidia purpurea,97025-1,Species,,:MPNS (Dischidia purpurea)
567,97064-1,Dischidia tonkinensis,Dischidia tonkinensis,97064-1,Species,,:MPNS (Dischidia tonkinensis)
568,60474364-2,Dischidia vidalii,Dischidia vidalii,60474364-2,Species,,:MPNS (Dischidia vidalii)
569,962659-1,Discospermum abnorme,Discospermum abnorme,962659-1,Species,,:MPNS (Discospermum abnorme)
570,748560-1,Discospermum javanicum,Discospermum javanicum,748560-1,Species,,:MPNS (Discospermum javanicum)
571,748565-1,Discospermum sphaerocarpum,Discospermum sphaerocarpum,748565-1,Species,,:MPNS (Discospermum sphaerocarpum)
572,748568-1,Diyaminauclea zeylanica,Diyaminauclea zeylanica,748568-1,Species,,:MPNS (Diyaminauclea zeylanica)
573,748585-1,Dolicholobium oblongifolium,Dolicholobium oblongifolium,748585-1,Species,,:MPNS (Dolicholobium oblongifolium)
574,77086220-1,Dolichopentas decora,Dolichopentas decora,77086220-1,Species,,:MPNS (Dolichopentas decora)
575,77086225-1,Dolichopentas longiflora,Dolichopentas longiflora,77086225-1,Species,,:MPNS (Dolichopentas longiflora)
576,97222-1,Dolichopetalum kwangsiense,Dolichopetalum kwangsiense,97222-1,Species,,:MPNS (Dolichopetalum kwangsiense)
577,97241-1,Dregea sinensis,Dregea sinensis,97241-1,Species,,:MPNS (Dregea sinensis)
578,874569-1,Dregea sinensis var. corrugata,Dregea sinensis,97241-1,Variety,,:MPNS (Dregea sinensis var. corrugata)
579,77172876-1,Dregea sinensis var. sinensis,Dregea sinensis,97241-1,Variety,,:MPNS (Dregea sinensis var. sinensis)
580,97245-1,Dregea yunnanensis,Dregea yunnanensis,97245-1,Species,,:MPNS (Dregea yunnanensis)
581,748660-1,Duroia eriopila,Duroia eriopila,748660-1,Species,,:MPNS (Duroia eriopila)
582,86133-2,Duroia genipoides,Duroia genipoides,86133-2,Species,,:MPNS (Duroia genipoides)
583,86137-2,Duroia kotchubioides,Duroia kotchubioides,86137-2,Species,,:MPNS (Duroia kotchubioides)
584,86152-2,Duroia petiolaris,Duroia petiolaris,86152-2,Species,,:MPNS (Duroia petiolaris)
585,60467403-2,Duroia saccifera,Duroia saccifera,60467403-2,Species,,:MPNS (Duroia saccifera)
586,97271-1,Duvalia polita,Duvalia polita,97271-1,Species,,:MPNS (Duvalia polita)
587,78323-1,Dyera costulata,Dyera costulata,78323-1,Species,,:MPNS (Dyera costulata)
588,78326-1,Dyera polyphylla,Dyera polyphylla,78326-1,Species,,:MPNS (Dyera polyphylla)
589,88698-2,Echites panduratus,Echites panduratus,88698-2,Species,,:MPNS (Echites panduratus)
590,78821-1,Echites umbellatus,Echites umbellatus,78821-1,Species,,:MPNS (Echites umbellatus)
591,88958-2,Elaeagia karstenii,Elaeagia karstenii,88958-2,Species,,:MPNS (Elaeagia karstenii)
592,78855-1,Elytropus chilensis,Elytropus chilensis,78855-1,Species,,:MPNS (Elytropus chilensis)
593,748742-1,Emmenopterys henryi,Emmenopterys henryi,748742-1,Species,,:MPNS (Emmenopterys henryi)
594,77101480-1,Empogona cacondensis,Empogona cacondensis,77101480-1,Species,,:MPNS (Empogona cacondensis)
595,77101464-1,Empogona lanceolata,Empogona lanceolata,77101464-1,Species,,:MPNS (Empogona lanceolata)
596,77101469-1,Empogona ovalifolia,Empogona ovalifolia,77101469-1,Species,,:MPNS (Empogona ovalifolia)
597,77101472-1,Empogona ovalifolia var. taylorii,Empogona ovalifolia,77101469-1,Variety,,:MPNS (Empogona ovalifolia var. taylorii)
598,77101475-1,Empogona welwitschii,Empogona welwitschii,77101475-1,Species,,:MPNS (Empogona welwitschii)
599,977405-1,Epigynum cochinchinensis,Epigynum cochinchinensis,977405-1,Species,,:MPNS (Epigynum cochinchinensis)
600,315444-2,Erithalis fruticosa,Erithalis fruticosa,315444-2,Species,,:MPNS (Erithalis fruticosa)
601,748814-1,Ernodea littoralis,Ernodea littoralis,748814-1,Species,,:MPNS (Ernodea littoralis)
602,748828-1,Euclinia longiflora,Euclinia longiflora,748828-1,Species,,:MPNS (Euclinia longiflora)
603,77164463-1,Eumachia archboldiana,Eumachia archboldiana,77164463-1,Species,,:MPNS (Eumachia archboldiana)
604,77195623-1,Eumachia extensa,Eumachia extensa,77195623-1,Species,,:MPNS (Eumachia extensa)
605,77164469-1,Eumachia forsteriana,Eumachia forsteriana,77164469-1,Species,,:MPNS (Eumachia forsteriana)
606,77164477-1,Eumachia leptothyrsa,Eumachia leptothyrsa,77164477-1,Species,,:MPNS (Eumachia leptothyrsa)
607,77164481-1,Eumachia leptothyrsa var. longicarpa,Eumachia leptothyrsa,77164477-1,Variety,,:MPNS (Eumachia leptothyrsa var. longicarpa)
608,77154321-1,Eumachia microdon,Eumachia microdon,77154321-1,Species,,:MPNS (Eumachia microdon)
609,77195624-1,Eumachia montana,Eumachia montana,77195624-1,Species,,:MPNS (Eumachia montana)
610,77164426-1,Eumachia oddonii,Eumachia oddonii,77164426-1,Species,,:MPNS (Eumachia oddonii)
611,77164490-1,Eumachia oncocarpa,Eumachia oncocarpa,77164490-1,Species,,:MPNS (Eumachia oncocarpa)
612,77195625-1,Eumachia rostrata,Eumachia rostrata,77195625-1,Species,,:MPNS (Eumachia rostrata)
613,748862-1,Exallage auricularia,Exallage auricularia,748862-1,Species,,:MPNS (Exallage auricularia)
614,77190031-1,Exallage auricularia subsp. venosa,Exallage auricularia,748862-1,Subspecies,,:MPNS (Exallage auricularia subsp. venosa)
615,77147284-1,Exallage chrysotricha,Exallage chrysotricha,77147284-1,Species,,:MPNS (Exallage chrysotricha)
616,77203407-1,Exallage cristata,Exallage cristata,77203407-1,Species,,:MPNS (Exallage cristata)
617,77147286-1,Exallage insularis,Exallage insularis,77147286-1,Species,,:MPNS (Exallage insularis)
618,77147287-1,Exallage lapeyrousei,Exallage lapeyrousei,77147287-1,Species,,:MPNS (Exallage lapeyrousei)
619,748876-1,Exallage paradoxa,Exallage paradoxa,748876-1,Species,,:MPNS (Exallage paradoxa)
620,748884-1,Exallage ulmifolia,Exallage ulmifolia,748884-1,Species,,:MPNS (Exallage ulmifolia)
621,1125915-2,Exostema caribaeum,Exostema caribaeum,1125915-2,Species,,:MPNS (Exostema caribaeum)
622,748950-1,Fadogia ancylantha,Fadogia ancylantha,748950-1,Species,,:MPNS (Fadogia ancylantha)
623,748960-1,Fadogia cienkowskii,Fadogia cienkowskii,748960-1,Species,,:MPNS (Fadogia cienkowskii)
624,77168410-1,Fadogia cienkowskii var. cienkowskii,Fadogia cienkowskii,748960-1,Variety,,:MPNS (Fadogia cienkowskii var. cienkowskii)
625,77168417-1,Fadogia elskensii var. elskensii,Fadogia elskensii,748967-1,Variety,,:MPNS (Fadogia elskensii var. elskensii)
626,748968-1,Fadogia erythrophloea,Fadogia erythrophloea,748968-1,Species,,:MPNS (Fadogia erythrophloea)
627,748973-1,Fadogia glaberrima,Fadogia glaberrima,748973-1,Species,,:MPNS (Fadogia glaberrima)
628,748979-1,Fadogia homblei,Fadogia homblei,748979-1,Species,,:MPNS (Fadogia homblei)
629,749002-1,Fadogia pobeguinii,Fadogia pobeguinii,749002-1,Species,,:MPNS (Fadogia pobeguinii)
630,749015-1,Fadogia tetraquetra,Fadogia tetraquetra,749015-1,Species,,:MPNS (Fadogia tetraquetra)
631,919913-1,Fadogia tetraquetra var. grandiflora,Fadogia tetraquetra,749015-1,Variety,,:MPNS (Fadogia tetraquetra var. grandiflora)
632,1187456-2,Faramea occidentalis,Faramea occidentalis,1187456-2,Species,,:MPNS (Faramea occidentalis)
633,103549-2,Ferdinandusa chlorantha,Ferdinandusa chlorantha,103549-2,Species,,:MPNS (Ferdinandusa chlorantha)
634,749319-1,Ferdinandusa rudgeoides,Ferdinandusa rudgeoides,749319-1,Species,,:MPNS (Ferdinandusa rudgeoides)
635,749328-1,Feretia apodanthera,Feretia apodanthera,749328-1,Species,,:MPNS (Feretia apodanthera)
636,77168418-1,Feretia apodanthera subsp. apodanthera,Feretia apodanthera,749328-1,Subspecies,,:MPNS (Feretia apodanthera subsp. apodanthera)
637,890259-1,Feretia apodanthera subsp. tanzaniensis,Feretia apodanthera,749328-1,Subspecies,,:MPNS (Feretia apodanthera subsp. tanzaniensis)
638,97395-1,Finlaysonia obovata,Finlaysonia obovata,97395-1,Species,,:MPNS (Finlaysonia obovata)
639,1004792-1,Fockea angustifolia,Fockea angustifolia,1004792-1,Species,,:MPNS (Fockea angustifolia)
640,97445-1,Fockea multiflora,Fockea multiflora,97445-1,Species,,:MPNS (Fockea multiflora)
641,79049-1,Forsteronia glabrescens,Forsteronia glabrescens,79049-1,Species,,:MPNS (Forsteronia glabrescens)
642,106366-2,Funastrum clausum,Funastrum clausum,106366-2,Species,,:MPNS (Funastrum clausum)
643,106371-2,Funastrum cynanchoides,Funastrum cynanchoides,106371-2,Species,,:MPNS (Funastrum cynanchoides)
644,106379-2,Funastrum flavum,Funastrum flavum,106379-2,Species,,:MPNS (Funastrum flavum)
645,106382-2,Funastrum glaucum,Funastrum glaucum,106382-2,Species,,:MPNS (Funastrum glaucum)
646,106384-2,Funastrum gracile,Funastrum gracile,106384-2,Species,,:MPNS (Funastrum gracile)
647,106386-2,Funastrum heterophyllum,Funastrum heterophyllum,106386-2,Species,,:MPNS (Funastrum heterophyllum)
648,79098-1,Funtumia africana,Funtumia africana,79098-1,Species,,:MPNS (Funtumia africana)
649,79099-1,Funtumia elastica,Funtumia elastica,79099-1,Species,,:MPNS (Funtumia elastica)
650,749370-1,Gaertnera cooperi,Gaertnera cooperi,749370-1,Species,,:MPNS (Gaertnera cooperi)
651,749388-1,Gaertnera liberiensis,Gaertnera liberiensis,749388-1,Species,,:MPNS (Gaertnera liberiensis)
652,546305-1,Gaertnera paniculata,Gaertnera paniculata,546305-1,Species,,:MPNS (Gaertnera paniculata)
653,546312-1,Gaertnera psychotrioides,Gaertnera psychotrioides,546312-1,Species,,:MPNS (Gaertnera psychotrioides)
654,749411-1,Gaertnera vaginans,Gaertnera vaginans,749411-1,Species,,:MPNS (Gaertnera vaginans)
655,999398-1,Galianthe brasiliensis,Galianthe brasiliensis,999398-1,Species,,:MPNS (Galianthe brasiliensis)
656,963747-1,Galianthe centranthoides,Galianthe centranthoides,963747-1,Species,,:MPNS (Galianthe centranthoides)
657,963754-1,Galianthe eupatorioides,Galianthe eupatorioides,963754-1,Species,,:MPNS (Galianthe eupatorioides)
658,749462-1,Galium acutum,Galium acutum,749462-1,Species,,:MPNS (Galium acutum)
659,749481-1,Galium album,Galium album,749481-1,Species,,:MPNS (Galium album)
660,749517-1,Galium aparinoides,Galium aparinoides,749517-1,Species,,:MPNS (Galium aparinoides)
661,749552-1,Galium asperifolium,Galium asperifolium,749552-1,Species,,:MPNS (Galium asperifolium)
662,749561-1,Galium asprellum,Galium asprellum,749561-1,Species,,:MPNS (Galium asprellum)
663,749611-1,Galium bigeminum,Galium bigeminum,749611-1,Species,,:MPNS (Galium bigeminum)
664,749626-1,Galium boreale,Galium boreale,749626-1,Species,,:MPNS (Galium boreale)
665,749661-1,Galium bungei,Galium bungei,749661-1,Species,,:MPNS (Galium bungei)
666,890286-1,Galium capense subsp. garipense,Galium capense,749677-1,Subspecies,,:MPNS (Galium capense subsp. garipense)
667,749731-1,Galium circaezans,Galium circaezans,749731-1,Species,,:MPNS (Galium circaezans)
668,749751-1,Galium concinnum,Galium concinnum,749751-1,Species,,:MPNS (Galium concinnum)
669,749853-1,Galium elegans,Galium elegans,749853-1,Species,,:MPNS (Galium elegans)
670,107022-2,Galium eriocarpum,Galium eriocarpum,107022-2,Species,,:MPNS (Galium eriocarpum)
671,749883-1,Galium fendleri,Galium fendleri,749883-1,Species,,:MPNS (Galium fendleri)
672,749951-1,Galium glandulosum,Galium glandulosum,749951-1,Species,,:MPNS (Galium glandulosum)
673,750013-1,Galium hirtiflorum,Galium hirtiflorum,750013-1,Species,,:MPNS (Galium hirtiflorum)
674,750014-1,Galium hirtum,Galium hirtum,750014-1,Species,,:MPNS (Galium hirtum)
675,77168448-1,Galium hypocarpium subsp. hypocarpium,Galium hypocarpium,750043-1,Subspecies,,:MPNS (Galium hypocarpium subsp. hypocarpium)
676,750082-1,Galium × jarynae,Galium × jarynae,750082-1,Species,,:MPNS (Galium × jarynae)
677,750150-1,Galium latoramosum,Galium latoramosum,750150-1,Species,,:MPNS (Galium latoramosum)
678,107094-2,Galium lilloi,Galium lilloi,107094-2,Species,,:MPNS (Galium lilloi)
679,750253-1,Galium mollugo,Galium mollugo,750253-1,Species,,:MPNS (Galium mollugo)
680,890317-1,Galium mucroniferum var. dregeanum,Galium mucroniferum,750272-1,Variety,,:MPNS (Galium mucroniferum var. dregeanum)
681,750339-1,Galium odoratum,Galium odoratum,750339-1,Species,,:MPNS (Galium odoratum)
682,750370-1,Galium palustre,Galium palustre,750370-1,Species,,:MPNS (Galium palustre)
683,750541-1,Galium rivale,Galium rivale,750541-1,Species,,:MPNS (Galium rivale)
684,750546-1,Galium rotundifolium,Galium rotundifolium,750546-1,Species,,:MPNS (Galium rotundifolium)
685,750553-1,Galium rubioides,Galium rubioides,750553-1,Species,,:MPNS (Galium rubioides)
686,750642-1,Galium simense,Galium simense,750642-1,Species,,:MPNS (Galium simense)
687,750665-1,Galium spurium,Galium spurium,750665-1,Species,,:MPNS (Galium spurium)
688,890332-1,Galium spurium subsp. africanum,Galium spurium,750665-1,Subspecies,,:MPNS (Galium spurium subsp. africanum)
689,750747-1,Galium tomentosum,Galium tomentosum,750747-1,Species,,:MPNS (Galium tomentosum)
690,750768-1,Galium trifidum,Galium trifidum,750768-1,Species,,:MPNS (Galium trifidum)
691,750771-1,Galium triflorum,Galium triflorum,750771-1,Species,,:MPNS (Galium triflorum)
692,750800-1,Galium uniflorum,Galium uniflorum,750800-1,Species,,:MPNS (Galium uniflorum)
693,750829-1,Galium verum,Galium verum,750829-1,Species,,:MPNS (Galium verum)
694,750896-1,Gardenia angkorensis,Gardenia angkorensis,750896-1,Species,,:MPNS (Gardenia angkorensis)
